config,bar_size,horizon,target_type,features,params_idx,n_trades,win_rate,total_net_return,sharpe,profit_factor,max_drawdown,final_equity
4h_h30_magnitude_0.002_ta_p1,4h,30,magnitude_0.002,ta,1,118,0.7119,3.721419,8.405,4.157,-0.0374,13721.42
4h_h30_magnitude_0.002_ta_p2,4h,30,magnitude_0.002,ta,2,122,0.7541,4.035381,9.433,5.08,-0.0395,14035.38
4h_h30_magnitude_0.002_ta_p3,4h,30,magnitude_0.002,ta,3,82,0.7317,3.49051,8.236,4.482,-0.0372,13490.51
4h_h30_magnitude_0.002_ta_p4,4h,30,magnitude_0.002,ta,4,148,0.5946,3.356376,7.532,3.491,-0.0392,13356.38
4h_h30_magnitude_0.002_more_lags_p0,4h,30,magnitude_0.002,more_lags,0,75,0.6667,2.314707,5.093,2.611,-0.0369,12314.71
4h_h30_magnitude_0.002_more_lags_p1,4h,30,magnitude_0.002,more_lags,1,78,0.5769,1.903793,4.05,2.218,-0.0578,11903.79
4h_h30_magnitude_0.002_more_lags_p2,4h,30,magnitude_0.002,more_lags,2,89,0.5169,2.036415,4.378,2.318,-0.0506,12036.42
4h_h30_magnitude_0.002_more_lags_p3,4h,30,magnitude_0.002,more_lags,3,48,0.6458,2.109177,5.15,3.137,-0.0374,12109.18
4h_h30_magnitude_0.002_more_lags_p4,4h,30,magnitude_0.002,more_lags,4,149,0.5235,2.556408,5.558,2.447,-0.0432,12556.41
4h_h30_magnitude_0.002_ta+lags_p0,4h,30,magnitude_0.002,ta+lags,0,56,0.5714,1.552629,3.343,1.975,-0.0684,11552.63
4h_h30_magnitude_0.002_ta+lags_p1,4h,30,magnitude_0.002,ta+lags,1,79,0.5316,1.960394,4.46,2.468,-0.0369,11960.39
4h_h30_magnitude_0.002_ta+lags_p2,4h,30,magnitude_0.002,ta+lags,2,110,0.4727,1.401412,2.822,1.643,-0.087,11401.41
4h_h30_magnitude_0.002_ta+lags_p3,4h,30,magnitude_0.002,ta+lags,3,52,0.5962,1.944842,4.408,2.512,-0.0469,11944.84
4h_h30_magnitude_0.002_ta+lags_p4,4h,30,magnitude_0.002,ta+lags,4,146,0.5342,2.52705,5.428,2.384,-0.0363,12527.05
4h_h15_magnitude_0.001_base_p0,4h,15,magnitude_0.001,base,0,224,0.5491,2.106922,3.728,1.638,-0.0826,12106.92
4h_h15_magnitude_0.001_base_p1,4h,15,magnitude_0.001,base,1,241,0.5892,2.580332,4.731,1.803,-0.0826,12580.33
4h_h15_magnitude_0.001_base_p2,4h,15,magnitude_0.001,base,2,276,0.5507,2.548596,4.449,1.737,-0.0826,12548.6
